Ticker,Price,Target,Upside %,PE,fPE,P/S,EPS Growth %,PEG,EV-based PEG,PEG 5Y,EV/GP,EV/GP/RG,Status,Analysts,Insiders %
OSCR,20.48,17.49,-14.59,51.2,36.57,0.52,23.49,2.18,0.48,,1.1,0.03,hold,7,4.12
LFMD,13.54,13.33,-1.53,,-338.5,2.63,1718.04,,-0.06,,2.8,0.06,strong_buy,6,15.99
HIMS,46.28,48.53,4.86,68.06,100.61,5.81,43.43,1.57,1.51,5.23,6.55,0.06,hold,12,11.13
AMZN,217.12,240.6,10.82,35.3,35.3,3.54,17.23,2.05,1.06,2.74,7.24,0.84,strong_buy,65,8.72
DLO,11.34,12.61,11.2,23.62,19.89,4.16,31.35,0.75,0.5,,8.01,0.46,buy,10,16.68
SOFI,16.77,14.45,-13.85,39.0,57.83,6.69,90.68,0.43,,3.01,8.34,0.41,hold,18,3.3
IREN,13.11,18.7,42.67,,38.56,8.39,4324.93,,0.01,,8.69,0.05,strong_buy,11,6.14
NU,13.39,14.55,8.65,30.43,21.6,11.44,36.98,0.82,,,9.76,0.92,buy,20,4.94
LMND,42.8,30.43,-28.91,,-17.05,5.61,32.9,,-0.44,,10.7,0.4,hold,7,24.66
MELI,2560.2,2772.21,8.28,62.98,52.92,5.8,39.67,1.59,0.92,1.65,10.99,0.3,buy,25,7.28
META,726.09,725.27,-0.11,28.39,28.7,10.72,10.58,2.68,1.89,2.33,12.64,0.79,strong_buy,63,0.07
HOOD,84.52,66.83,-20.93,48.3,115.78,22.88,18.2,2.65,,,23.41,0.47,buy,20,0.85
TSLA,325.78,306.07,-6.05,187.23,100.55,10.96,52.74,3.55,1.56,6.05,61.04,-6.63,hold,41,12.89
NBIS,52.6,66.5,26.43,,-33.94,78.07,41.91,,-0.62,,152.73,0.44,strong_buy,4,4.03
MSTR,386.44,530.29,37.22,,-898.7,235.04,97.94,,-0.16,,355.08,-98.63,buy,14,0.19
